userName,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,sentiment
tiwi suka,busux 😖 caelahhh gaono lop lop e pilih kasihhh ga asiq,1,0,,2024-09-25 10:01:51,,Negatif
Ayu Pratiwi,kena spam,2,0,2.24.18.80,2024-09-25 10:01:02,,Negatif
Erni Aisah,berbuat apakenapa no blokdi spam ngerti app,2,0,2.24.18.80,2024-09-25 09:59:18,,Negatif
Muhamad Soleh,saluran² yg adain gak pakegak cuman bikin berat aja kirim file foto videolebih berguna,3,0,2.24.18.80,2024-09-25 09:57:23,,Netral
Aqila Nafisa Azzahra,whatsapp ya kena blok whatsapp nggak nge lakukan hal² melanggar pulihkan kena hack mohon diperbaiki,1,0,2.24.18.80,2024-09-25 09:54:58,,Negatif
Ayah Ayah,bagus aplikasi ny,5,0,,2024-09-25 09:54:10,,Positif
Said Samrud,kena spam pdahal ga unggah yg aneh ataw nipumohon apk perhatikan nmr cari rezeki kalow kena spam ga jg jalanx,2,0,2.24.18.80,2024-09-25 09:52:16,,Negatif
Ardhi Yusuf,akun kena peringatan spam,1,0,,2024-09-25 09:52:13,,Negatif
Mujib Burrahman,bagus,5,0,2.24.19.82,2024-09-25 09:51:00,,Positif
Tukijah Ijah,bagus berguna,5,0,2.24.17.79,2024-09-25 09:50:47,,Positif
Muh.ananda Adam,kena spam,2,0,,2024-09-25 09:49:29,,Negatif
Ateng Jubek,whatsapp,5,0,,2024-09-25 09:49:21,,Positif
Daryanto Yanto,whasapp messenger topmarkotop mantap,5,0,,2024-09-25 09:48:48,,Positif
Cicih Sutarsih,aplikasi langganan kuh,5,0,2.24.17.79,2024-09-25 09:47:21,,Positif
Sofyan Hendri,mantap,5,0,2.24.18.80,2024-09-25 09:44:24,,Positif
Kevin Giovany,good aplikasi,5,0,,2024-09-25 09:43:36,,Positif
Trend Ponsel,mbaknahda zahira,5,0,2.24.12.78,2024-09-25 09:43:24,,Positif
Muri 12,bagus kali,5,0,2.24.13.77,2024-09-25 09:42:48,,Positif
Adi Alak,puas,5,0,2.24.18.80,2024-09-25 09:42:43,,Positif
Rose tiyah,fitur likenya gabisa muncul udah diupdate versi terbaru,3,0,2.24.18.80,2024-09-25 09:42:36,,Netral
Diah Ayu,watshaap berkonfirmasi teman,5,0,2.24.18.80,2024-09-25 09:41:42,,Positif
Slamet Ryanto,slamet riyanto,5,0,2.24.13.77,2024-09-25 09:41:38,,Positif
ismail marzuki,mohon perbaiki aplikasinya memverifikasi no terdaftar menit spam berkali kali beli kartu memvrikasi no spam terimakasih,1,0,2.24.19.80,2024-09-25 09:41:30,,Negatif
abdul ghofur,,5,0,2.24.18.80,2024-09-25 09:41:24,,Positif
Nuril Moebarak,aneh ganti perangkat iya akun ya nunggu otp terkirim ganti metode nya,1,0,2.24.18.80,2024-09-25 09:41:00,,Negatif
Billy Twin123,bagus,5,0,2.24.13.77,2024-09-25 09:40:33,,Positif
isma rahmawati,ok,5,0,2.24.18.80,2024-09-25 09:40:19,,Positif
Epung Epung,knpa ya wa gak buka,5,0,2.24.18.80,2024-09-25 09:40:15,,Positif
Jhon Piter,ok,4,0,2.24.18.80,2024-09-25 09:39:56,,Positif
Nafa Mubarok,tolong costumer service melayani cepat,2,0,2.24.18.80,2024-09-25 09:39:16,,Negatif
Silwi Rahayu,min kenape wa ga bs ngirim foto vidio dah updet,3,0,2.23.24.82,2024-09-25 09:39:14,,Netral
Nanda Tresna Pamungkas,statusnya berantakan update hadehhh,1,0,2.21.6.17,2024-09-25 09:38:10,,Negatif
Novan Rachmad,,5,0,2.23.15.81,2024-09-25 09:37:41,,Positif
Jarni Jarnisyah,keren,1,0,2.24.18.80,2024-09-25 09:37:33,,Negatif
Ableh Samir,bkurang bagus,4,0,2.24.18.80,2024-09-25 09:36:59,,Positif
Jibran Pangestu,sinih jelekupdate fotovidio susah foto burem,1,0,2.24.18.80,2024-09-25 09:36:22,,Negatif
Azhar's Syifa,bagus,5,0,2.24.18.80,2024-09-25 09:36:22,,Positif
Lia Silviana,harap ditinjau akun whatsapp kena spam memenuhi ketentuan layanan whatsapp terima kasih,5,0,2.24.19.82,2024-09-25 09:36:11,,Positif
Yurita Myusuf,ok,5,0,2.24.13.77,2024-09-25 09:35:23,,Positif
Sukri Adi,senang memakai watsap untu berbagi informasi bisnis,5,1,2.24.18.80,2024-09-25 09:34:25,,Positif
Maskur Maskur,wat sap membantu terimakasih,5,0,2.24.18.80,2024-09-25 09:28:55,,Positif
saryono. Saryono1234,bagus,5,0,,2024-09-25 09:27:17,,Positif
Nugi Nugiye,karna pake paket intranet hha 😂,4,0,,2024-09-25 09:27:15,,Positif
Daffa Daffa,whatsapp nya dibuka,1,0,2.24.18.80,2024-09-25 09:26:58,,Negatif
Zikra Alfitrian,ok pokoknya yg,5,0,2.24.18.80,2024-09-25 09:25:30,,Positif
Febrina belo,bagus,5,0,2.24.13.77,2024-09-25 09:25:18,,Positif
Pebry ady Siregar,,5,0,,2024-09-25 09:25:09,,Positif
Kristian iceh,mantap,5,0,2.23.24.82,2024-09-25 09:24:36,,Positif
Yulianto,akhirakhir kena spam kena blokir,5,0,2.24.18.80,2024-09-25 09:23:28,,Positif
ega tristan,tolong benerin bug telvon gak suaranya,3,0,2.21.16.20,2024-09-25 09:22:54,,Netral
Agam Agam,mudah berinteraksi puas👍👍👍,5,0,2.24.18.80,2024-09-25 09:22:19,,Positif
raffi_ 99,wa blok alasan spamdan tejadi menerus,2,0,2.24.17.79,2024-09-25 09:22:06,,Negatif
Ramdan Septian,udah updet ga lek,1,0,2.24.18.80,2024-09-25 09:21:15,,Negatif
Wardinah Wardinah,wa,3,0,2.24.18.80,2024-09-25 09:21:12,,Netral
Kamariah Kamariah,panggilan,2,0,2.24.18.80,2024-09-25 09:20:28,,Negatif
Agung Setiawan,😍😍😍😍,5,0,2.24.18.80,2024-09-25 09:18:48,,Positif
Muhammad Irsyadul,ok,4,0,2.24.18.80,2024-09-25 09:18:30,,Positif
Takaa,tolong hilangkan fitur lihat whatsapp,1,0,2.24.16.76,2024-09-25 09:18:02,,Negatif
Iva Nur,suda d update gabisa muncul fitur,1,0,2.24.18.80,2024-09-25 09:16:38,,Negatif
Mamur Pancing,teman disukai,5,0,2.24.18.80,2024-09-25 09:15:16,,Positif
ARKA TAILOR,aktip jam udah blok spamspamnya dimana mohon diperbaiki,1,0,2.24.18.80,2024-09-25 09:14:07,,Negatif
Nur Azizah,nomor susah dimasukkan,1,0,2.19.115,2024-09-25 09:14:06,,Negatif
Rani Jupiter,wathsap membantu,5,0,2.24.18.80,2024-09-25 09:13:47,,Positif
Nur Yadin,membantu komunikasi,5,0,,2024-09-25 09:13:40,,Positif
Kasimun Pak,whatsapp aneh blokir spam spam tolong perbaiki whatsapp,1,0,,2024-09-25 09:13:34,,Negatif
Lesus 19,jelk ny whatsapp resmi,1,0,,2024-09-25 09:12:52,,Negatif
Ria angelita ch lawere,mantap,5,0,2.24.18.80,2024-09-25 09:12:25,,Positif
Pandi Pandi,bagus,3,0,2.24.18.80,2024-09-25 09:11:47,,Netral
Kayla Azizah,wowwww,4,0,2.24.18.80,2024-09-25 09:11:36,,Positif
Nengah Baktiari,,4,0,2.24.13.77,2024-09-25 09:11:36,,Positif
Alena Aprilia,ko ga nge like sih,3,0,2.24.18.80,2024-09-25 09:11:34,,Netral
Aghits Zaeni,good,5,0,2.24.18.80,2024-09-25 09:10:18,,Positif
Nur Milatidini,suka pemulihan pemulihan chat chat ku kehapus 😡😡😡😡,1,0,2.24.18.80,2024-09-25 09:09:52,,Negatif
Rukyanti Bayu,aplikasi in baguss thanks,5,0,2.24.18.80,2024-09-25 09:09:46,,Positif
Rizki Saputera,aplikasi bagus,5,0,,2024-09-25 09:07:37,,Positif
Ides Bohalima,,5,0,2.24.18.80,2024-09-25 09:06:09,,Positif
audina jumardani,upgrade koplak story random bgt gak sesuai jam nya,1,0,2.24.19.82,2024-09-25 09:03:19,,Negatif
Nadin,min kenpa ya kalo post sw burem gitu hd in ga tolong yaa update,4,0,,2024-09-25 09:02:54,,Positif
Kusen Soak,akuseorangpetnikerjanya selalufisawahbergelut denganlumpuryang,5,0,2.24.18.80,2024-09-25 09:01:24,,Positif
Ml Bangijal,ok,5,0,2.24.18.80,2024-09-25 09:01:03,,Positif
DAFFA,bagus,5,0,2.24.18.80,2024-09-25 09:00:43,,Positif
Miftah Udin,susah d buka,4,0,2.24.13.77,2024-09-25 08:59:15,,Positif
Vivo Borneo,bagus👍,5,0,2.24.18.80,2024-09-25 08:59:14,,Positif
Ahmad Sunarto,,5,0,2.24.9.78,2024-09-25 08:58:04,,Positif
Dani Hasbulah,aplikasi yg bergunaa bgt dihidupkubisa chattingantelponvc sm temensama keluarga dll harap update an diselanjutnya simpan sw orng translatebisa liat like story org and tysm for all,5,3,2.24.18.80,2024-09-25 08:56:20,,Positif
Mang Ulit,semangat,5,0,2.24.12.78,2024-09-25 08:55:43,,Positif
Rita Ningtias official,pembaruan story whatsap,5,0,2.24.19.82,2024-09-25 08:54:19,,Positif
Sur Yadi,perbaikilagi,4,0,,2024-09-25 08:52:13,,Positif
Ario Pamungkas,mantap,5,0,2.24.18.80,2024-09-25 08:51:47,,Positif
Ilyas Nugi Pamungkas,ga terkirim kode,1,0,2.24.18.80,2024-09-25 08:51:44,,Negatif
Iduypanceug Sajagat,,5,0,2.24.18.80,2024-09-25 08:51:10,,Positif
Putri Rhieswantho,aplikasi baguskarena aplikasi mengechat org dri kejauhan gtudan cocok yg gabut buka whatsapp chat yg gajelas,5,0,2.24.13.77,2024-09-25 08:48:13,,Positif
Ramsel Bakkara,aplikasi bagus,5,0,,2024-09-25 08:48:13,,Positif
Talita Shafa,suka bug plisss ga buka gituu bikin panikk jg bugg and gatau knp bgt signyal udah g tp ga instal instal,4,0,2.24.18.76,2024-09-25 08:48:09,,Positif
Arsylla Hibaitillah,notifdelay panggilan gak putuss nglag parahhh,2,0,2.24.18.80,2024-09-25 08:47:17,,Negatif
Yanti Susanti,ok,1,0,,2024-09-25 08:46:14,,Negatif
Sugeng Bogeng,knapa kena spam ya,5,0,2.24.18.80,2024-09-25 08:45:12,,Positif
Mirza Faizullah,bagus,5,0,,2024-09-25 08:45:07,,Positif
Aji Huda,avika,5,0,2.24.12.78,2024-09-25 08:44:01,,Positif
Kus Toni,ga dwondlod memori penuh gmna,5,0,2.24.16.76,2024-09-25 08:43:53,,Positif
Jombret Jaya,siiiipppp,5,0,2.23.23.78,2024-09-25 08:43:24,,Positif
Fauzi Setiawan,kalo ngebuat story whatsapp vidio nya jelek burik,3,0,2.24.18.80,2024-09-25 08:43:05,,Netral
Lariafa Lariafa,knp nomor sy tdk terdaftar sy sdh daftar tolong diperbaiki masalahnyamohon diperbaiki masalhnya nmor sy sdhh terdaftar tpi knp sllu disuruh ganti nmor,5,0,2.24.7.81,2024-09-25 08:42:19,,Positif
Nurhasanah,ok,5,0,,2024-09-25 08:41:02,,Positif
Fahmi “FahmiFadilSahrunR” F.S.R,menginstanya ga sabar cat teman grup gabut sayang nya si menginstanya,5,0,2.24.18.80,2024-09-25 08:40:24,,Positif
Dina Nur dirayati,wa,1,0,2.22.2.73,2024-09-25 08:40:07,,Negatif
mustari mustari,bagus,5,0,2.24.18.80,2024-09-25 08:39:19,,Positif
M.isa Juarsa,hapus trus wa ku,5,0,2.20.202.18,2024-09-25 08:37:49,,Positif
Nofriansyah Opi,bagus,5,0,2.24.13.77,2024-09-25 08:35:57,,Positif
Epul Rian,spam ane wa,1,0,2.24.18.80,2024-09-25 08:35:06,,Negatif
Yulianti Fransisca Simanjuntak,aplikasinya jelek🤮nyesel gw download🤮 mending yg download gk ush deh download nnti nyesell aja nyesel banget🤮,1,0,2.24.18.80,2024-09-25 08:34:36,,Negatif
Karisa Aparilia,whatsapp ink sang bags belajar,5,0,2.23.11.77,2024-09-25 08:33:11,,Positif
palupigigih10 2024,baguss bangett,5,0,2.24.18.80,2024-09-25 08:26:19,,Positif
Adam Ramdani,pokoknya ngeten👍,5,0,2.24.18.80,2024-09-25 08:25:59,,Positif
Eka Saputra,saluran share link bokepnya lolos😭,1,0,,2024-09-25 08:22:03,,Negatif
Kdex Draco1945,good,5,0,2.24.13.77,2024-09-25 08:17:39,,Positif
Martahan Sirait,bagus cepat,4,0,2.24.18.80,2024-09-25 08:17:09,,Positif
Kiki Maulana,mantap,4,0,2.24.17.79,2024-09-25 08:16:51,,Positif
Alinda Rahmawati,tolong whatsapp jngn menerima nomor yg udh daftar wa ny udah wa dipake orang gak bertanggung mohon kpd whatsapp jaga privasi nomor udah tertera whatsapp klo no tertera wa jngn nerima no tolong ya jngn sampe ulang klo terulang orang bertanggung terima kasih 🙏,3,0,2.23.18.79,2024-09-25 08:12:13,,Netral
Suci Mukrimin,bagus jaeingannya,3,0,2.24.18.80,2024-09-25 08:11:20,,Netral
Amaq Kahar,baguss berkomunikasi negri negri sukaa,5,0,,2024-09-25 08:11:05,,Positif
Sulistia Ningsih,,4,0,2.24.18.80,2024-09-25 08:11:04,,Positif
Ncie Sri,bagus,5,0,2.24.18.80,2024-09-25 08:10:39,,Positif
Garcia Tias,ok,5,0,,2024-09-25 08:10:15,,Positif
Zulpah Padilah,yah mendownload aplikasi wa slalu lm,1,0,,2024-09-25 08:08:59,,Negatif
serigala gaming,aplikasi bagus berguna membantu berkomunikasi,5,0,2.24.18.80,2024-09-25 08:08:59,,Positif
Mashum Kece,membantu,5,0,2.24.18.80,2024-09-25 08:08:54,,Positif
Nazaruddin Muhammad,bansos cek whatsapp,1,0,,2024-09-25 08:08:22,,Negatif
Putra Simatupang,whatsapp kena pelanggaran alasan spam chat,1,0,2.24.18.80,2024-09-25 08:07:58,,Negatif
Baiq Jeniah,bagus♡♡♡♡,5,0,2.24.13.77,2024-09-25 08:07:50,,Positif
Pengguna Google,ok boss q,5,0,2.24.18.80,2024-09-25 08:07:47,,Positif
Yana jha,cepat update,1,0,2.23.16.76,2024-09-25 08:07:42,,Negatif
Siti Qoriah,,5,0,2.24.18.80,2024-09-25 08:07:29,,Positif
Kikiw Kiw,whatsapp blokir berhasil membuka nya gabisa masuk beranda nya ya keblokir cuman nambahin orang kantor grup loh😡,1,0,2.24.18.80,2024-09-25 08:07:25,,Negatif
Soemanov Sergeant,kasih fitur menyimpan filenye sd card pengguna smartphone memory internal grup isinya file dokumenfoto backup database wa memakan memory internal smartphone,5,62,2.24.19.80,2024-09-25 08:06:55,,Positif
Azis Azis,bagus,3,0,2.24.18.80,2024-09-25 08:06:28,,Netral
Yanti Putri,tida mengakses aplikasi,5,0,2.24.18.80,2024-09-25 08:05:48,,Positif
Nirwana Nir,yaaawaaa,5,0,2.24.13.77,2024-09-25 08:01:15,,Positif
ikhwanul laila,whatsapp gak telfon,3,0,2.24.18.80,2024-09-25 08:00:59,,Netral
Safira Dwifebriyani,watsap nya ga d pake,5,0,2.24.18.80,2024-09-25 07:59:50,,Positif
David Villa,gw chat temen gw ajakena kenonhabis selesai kenongw wa gw teman lagikenon tolong perbaiki non aktifkan filtur keno nya,2,0,2.24.18.80,2024-09-25 07:56:10,,Negatif
Triyadi Ahmat,komunikasi teman keluarga,4,0,2.24.18.80,2024-09-25 07:55:19,,Positif
Yanto Basna,aplikasinya bagus banget deh pokoknya,5,0,,2024-09-25 07:55:07,,Positif
Adi Wardana,min tolong bikin status wa nya gak habis habis,5,0,,2024-09-25 07:54:41,,Positif
Galang Sakha,dikeluarkan grup fisika sistem nama guru fisika nama cantumkan nama bio privasi nyalakan orang,1,0,2.24.18.80,2024-09-25 07:54:40,,Negatif
Pengguna Google,please remove gif picture search thats not appropriate for children save our children,5,0,2.24.18.80,2024-09-25 07:53:58,,Positif
Surya Darma,sngat membantujdi kebutuhan sehari,5,0,2.24.10.85,2024-09-25 07:52:22,,Positif
Rama Trobo,bagus,5,0,2.24.19.82,2024-09-25 07:51:27,,Positif
Saputra Saputra,mantap,5,0,,2024-09-25 07:51:24,,Positif
Muh Toha,loss,5,0,,2024-09-25 07:50:34,,Positif
Alfian Syafitrah,oke,5,0,2.24.18.80,2024-09-25 07:48:11,,Positif
May May (Mem3),ko apdet tolong apdet,5,0,2.23.14.79,2024-09-25 07:46:29,,Positif
Supriadi Supriadi,bagus,5,0,2.24.18.80,2024-09-25 07:46:25,,Positif
Ela Ana,tdk terinstal didownload,5,0,2.21.10.16,2024-09-25 07:46:18,,Positif
Amin Jaelani,aplikasi mantap,5,0,2.24.18.80,2024-09-25 07:45:15,,Positif
yolanda soasa,whatsapp berkomunikasi sajaa,5,0,2.24.18.80,2024-09-25 07:44:55,,Positif
Kijang Beturus,aplikasi wa rumayan bagu ber komunikasi,5,0,,2024-09-25 07:44:45,,Positif
Angga Kresna,boros resource gb sendri🤦,4,0,2.24.18.80,2024-09-25 07:43:47,,Positif
Dear fatimah,good,5,0,2.24.18.80,2024-09-25 07:43:22,,Positif
Naila Milani putri,baguss,5,0,2.24.19.82,2024-09-25 07:42:04,,Positif
Candra Majid,,5,1,2.24.11.79,2024-09-25 07:41:57,,Positif
SYAIFUL ANAM,bagus,5,0,2.24.18.80,2024-09-25 07:41:08,,Positif
Muhammat Hendra,tdk ditampilkan layar,5,0,2.24.18.80,2024-09-25 07:40:08,,Positif
Febriyanti iman2128,kesini kesanaa gajelasss nomor aktif jaringan bagus tp kode ga masuk tbtb kena spam lahh lahh anehhhhh tolong perbaiki donggg sampe ngeganggu kerjaan orangg,2,0,2.24.13.77,2024-09-25 07:39:56,,Negatif
Nadzwaa A,parahhh tiba² chat gua ilang jelek banget ya whatsapp,1,0,2.24.18.80,2024-09-25 07:39:16,,Negatif
Nur Muhamad RIZKI Fachrudin,b aja,1,0,2.24.17.79,2024-09-25 07:38:58,,Negatif
Dhina Lia,good,5,0,,2024-09-25 07:38:02,,Positif
Gus Dur,kenapaa wa android gk blh buka,5,0,2.24.18.80,2024-09-25 07:36:45,,Positif
Adista Widiani,aman pakai whatsapp,5,0,,2024-09-25 07:35:44,,Positif
Muhammad Shafa faizza tunnaja Putra akbar,woi anj wa gw gak like gimna aelah,1,0,,2024-09-25 07:35:22,,Negatif
barok tamir,ok,5,0,2.24.18.80,2024-09-25 07:35:04,,Positif
Mery 01,❤❤❤❤🥰🥺,5,0,2.24.18.80,2024-09-25 07:35:00,,Positif
Alvin Nyel,keren,5,0,2.24.18.80,2024-09-25 07:34:48,,Positif
Alprazolam Riklona,fikri,5,0,2.24.18.80,2024-09-25 07:34:46,,Positif
awien fawaid,tolong bikin vitur anti spam nomer yg berbedabeda keganggu banget namanya spam chat yg kode depannya berbeda,1,0,2.24.18.80,2024-09-25 07:34:41,,Negatif
Anisah Setianingsih,,5,0,2.24.18.80,2024-09-25 07:34:06,,Positif
Miftahul Anwar Sejahtera,bagus,5,0,2.24.18.80,2024-09-25 07:33:48,,Positif
Reva Agustin,cpek update trusprasaan bru kmren update koq skrg hrus update lgi,2,0,,2024-09-25 07:33:39,,Negatif
Syahrul Arafah,ga nge banned,1,0,2.24.18.80,2024-09-25 07:31:19,,Negatif
Jono Ssr,u dah unduh w a nya aktip,5,0,2.24.13.77,2024-09-25 07:30:36,,Positif
Ata Raska,spam berkali kali nomor pakai,2,0,2.24.18.80,2024-09-25 07:30:25,,Negatif
Andrians Fradiansyah,puas,5,0,2.24.14.81,2024-09-25 07:30:21,,Positif
Irvan Hermawan,okay,4,0,2.24.18.80,2024-09-25 07:29:58,,Positif
Bang Ichal,ok,3,0,,2024-09-25 07:29:41,,Netral
Nanang Arie,story kontak terstruktur status terbaru ditengah status diatas,3,0,2.24.18.80,2024-09-25 07:29:11,,Netral
Diaz Melvin,saluran judi online,2,0,2.24.18.80,2024-09-25 07:29:07,,Negatif
Muhammad Abdul Alfaqih,mantap,5,0,2.24.18.80,2024-09-25 07:27:35,,Positif
Zami Saputra,aplikasi okeh tapiii,5,0,2.24.17.79,2024-09-25 07:27:04,,Positif
Vidian Saputra,wa gw gak blok nih gw tepatin janji gw,5,0,2.24.17.79,2024-09-25 07:26:50,,Positif
Saadah,lambat meng update,5,0,2.24.18.80,2024-09-25 07:26:44,,Positif
sahrul ramadhan,tolong tim whatsapp blokir akun whatsapp tolong udh cape,1,0,2.24.18.80,2024-09-25 07:26:17,,Negatif
Ari Aquary,bagus,5,0,,2024-09-25 07:25:00,,Positif
Muhammad Fahri,bodaaaat,1,0,2.24.18.80,2024-09-25 07:23:53,,Negatif
Enha Saputri,terbaik,5,0,,2024-09-25 07:23:37,,Positif
Syifa Feriska,bagus,5,0,2.24.17.79,2024-09-25 07:22:05,,Positif
Franky Angky,aplikasinya membantu,5,0,,2024-09-25 07:21:29,,Positif
Muh Rusdi97,,5,0,2.24.18.80,2024-09-25 07:20:14,,Positif
Nur Janah,bagus,5,0,2.24.18.80,2024-09-25 07:19:25,,Positif
Alfin Gmail,salut whatsapp hasil,5,0,2.24.18.80,2024-09-25 07:19:22,,Positif
Wong Sepat02,,5,0,2.24.11.79,2024-09-25 07:18:18,,Positif
Dimass Saputra,wa ga buka knp ya,1,0,2.24.18.80,2024-09-25 07:18:03,,Negatif
Sion Andreas Damanik,kegakudbausbajgshayaj hshs,5,0,2.24.18.80,2024-09-25 07:17:52,,Positif
rianti bags,akun blokir gatau gak menyepam,1,0,2.24.18.80,2024-09-25 07:17:42,,Negatif
Surat No,ķenapa sih gk dowloat udh instal,3,0,,2024-09-25 07:17:21,,Netral
Rafael .s,bermanfaat faat,5,0,,2024-09-25 07:16:44,,Positif
Handa Dinar,mantap,5,0,2.24.18.80,2024-09-25 07:15:38,,Positif
Juherimeck Meck,wa gak save no gak kasih nama buruk dah pokoknya wa duly,2,0,2.24.18.80,2024-09-25 07:13:44,,Negatif
Aldii Doang,bagus,5,0,2.24.18.80,2024-09-25 07:13:05,,Positif
Niken Maydhiya Yulistiani,gabisa upgrade love story wa nyaa,2,0,2.24.18.80,2024-09-25 07:13:04,,Negatif
Azizan Mile,membantu kenunikàsi,5,0,2.24.18.80,2024-09-25 07:12:56,,Positif
krisno Ari,whats ber iklan aneeeh,5,0,2.24.19.82,2024-09-25 07:12:46,,Positif
Rafania Ajja,bagus banget aplikasinya,5,0,2.24.18.80,2024-09-25 07:12:33,,Positif
riki cahyadi,good,5,0,,2024-09-25 07:12:21,,Positif
Suwarni Junti,mayan,3,0,,2024-09-25 07:11:53,,Netral
Rb Awaliyah,knpa wa blokir nggak balikinagi,1,0,,2024-09-25 07:10:53,,Negatif
Kasman Bantaeng,wa hilang namanya,5,0,2.23.8.76,2024-09-25 07:10:50,,Positif
yumna auliya chanel,good,5,0,2.24.15.78,2024-09-25 07:09:39,,Positif
Naynilna,banget whatsapp live,5,0,2.24.18.80,2024-09-25 07:09:38,,Positif
Habibi Rny,mencadangkan buanget 😭,4,0,2.24.18.80,2024-09-25 07:09:24,,Positif
Ryantii,akun spam aplikasi mempersulit penggunanya ambil tu bintang,1,0,2.24.18.80,2024-09-25 07:06:43,,Negatif
Junian Alan,pengalaman memakai apk bagus,5,0,,2024-09-25 07:06:12,,Positif
Isal Ganteng,keren,5,0,,2024-09-25 07:04:50,,Positif
Meriana Manalu,memakai whatsapp messenger,5,0,2.24.18.80,2024-09-25 07:03:25,,Positif
Ridho Akbar,,5,0,,2024-09-25 07:03:03,,Positif
Haikal Nurhakim,bagus,5,0,2.24.12.78,2024-09-25 07:02:56,,Positif
Halimah Sakhdiah,jelek,1,0,2.24.13.77,2024-09-25 07:02:46,,Negatif
Sopiah 59,ampli kasi baguss,3,0,2.24.13.77,2024-09-25 07:01:04,,Netral
BROTHER POESAT BERSATU chanell,londing ws,5,0,2.24.18.80,2024-09-25 06:59:00,,Positif
Sarah,bagus wa like nya,5,0,2.24.18.80,2024-09-25 06:58:13,,Positif
Pipit Kalista,jelek aja ngelag update bkn bagus jd lag,3,0,2.24.18.76,2024-09-25 06:57:46,,Netral
Puput Darmawan,wa kenak spam,5,0,2.24.18.80,2024-09-25 06:57:42,,Positif
Zahrona Rado,bagus,5,0,2.24.18.80,2024-09-25 06:57:12,,Positif
Mas “Hafidz” Mulya,wa mah suka eror,1,0,2.24.18.80,2024-09-25 06:56:27,,Negatif
bimbim slank,wa bisnis mudah terkena spam blokir,1,0,2.24.19.82,2024-09-25 06:55:43,,Negatif
preman kalem,nomer q tolak pdhl aplikasi resmi suruh pakai aplikasi resmi,1,0,2.24.18.80,2024-09-25 06:54:44,,Negatif
Andri Irawan,panggilan telpon suara demgar lawna bicara suara lawan bicara gak dengar hidupkan speaker suara lawan bicara 🤣,4,0,2.24.18.80,2024-09-25 06:54:42,,Positif
Wiwik Windi,sya sngat suka aplikasi,5,0,2.24.13.77,2024-09-25 06:52:10,,Positif
Rusmiyati,ok,5,0,2.24.18.80,2024-09-25 06:50:35,,Positif
Barnabas Lim bengk,,1,0,,2024-09-25 06:46:38,,Negatif
syarah azahra07,wa bagus,4,0,2.24.18.80,2024-09-25 06:46:25,,Positif
Hi Frien,tampilan status aneh acak acak gak kayak balikin kayan,1,0,2.24.18.80,2024-09-25 06:45:45,,Negatif
